nodeid,first,last
tests/test_biotincompleteelliptic.py::test_the_trip_count_is_bounded_by_the_argument_range_in_both_directions,not_run,unobserved
tests/test_biotincompletemoments.py::test_the_exact_quarter_confluence_uses_the_complete_finite_parts,not_run,unobserved
tests/test_biotincompletemoments.py::test_the_headroom_is_bounded_by_the_closure_in_both_directions,not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.001-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.001-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.001-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.001-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.001-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.001-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.001-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.001-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.003-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.003-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.003-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.003-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.003-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.003-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.003-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.003-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.006-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.006-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.006-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.006-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.006-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.006-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.006-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.006-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.01-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.01-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.01-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.01-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.01-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.01-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.01-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.01-1.5],not_run,unobserved
